mfr_id,mfr_name,mfr_region,dhis2_id,dhis2_name,dhis2_region,linktransformer_score,text_a,text_b,match_type
1087032,laelay hahayle health post,tigray,QoCrqjx8Q9w,laelay hahayle health post,tigray,0.8934556245803833,laelay hahayle health post woreda:Hahaile Woreda region:tigray zone:Central Zone,laelay hahayle health post region:tigray zone:Central ZHD,confirmed
1087032,laelay hahayle health post,tigray,XJvxSBiQIEj,laelay hdug health post,tigray,0.8349055051803589,laelay hahayle health post woreda:Hahaile Woreda region:tigray zone:Central Zone,laelay hdug health post region:tigray zone:Central ZHD,confirmed
1087034,tahatay daereka health post,tigray,vpF2Dcc2Gbg,tahtay daereka health post,tigray,0.8482779264450073,tahatay daereka health post woreda:Hahaile Woreda region:tigray zone:Central Zone,tahtay daereka health post region:tigray zone:Central ZHD,confirmed
1087049,wuhdet health post,tigray,DqJxybPVXTy,wuhdet health post,tigray,0.8294815421104431,wuhdet health post woreda:Tahtay Qoraro region:tigray zone:North West Zone,wuhdet health post region:tigray zone:North Western ZHD,confirmed
1087049,wuhdet health post,tigray,v2JLww3lAvm,wuhdet health post,tigray,0.8294815421104431,wuhdet health post woreda:Tahtay Qoraro region:tigray zone:North West Zone,wuhdet health post region:tigray zone:North Western ZHD,confirmed
1087096,adiwalka health post,tigray,BfWQgpIMNeO,adiwalka health post,tigray,0.8485151529312134,adiwalka health post woreda:Ger-alta Woreda region:tigray zone:Eastern Zone,adiwalka health post region:tigray zone:South Eastern ZHD,confirmed
1087158,yemane medium clinic,tigray,q6S2srFgRRM,yemane medium clinic,tigray,0.8189371824264526,yemane medium clinic woreda:Tsimbla woreda region:tigray zone:North West Zone,yemane medium clinic region:tigray zone:Central ZHD,confirmed
1087166,mesanu health post,tigray,DriUWH8TIPN,mesanu health post,tigray,0.8113220930099487,mesanu health post woreda:Tsirae Wonberta Woreda region:tigray zone:Eastern Zone,mesanu health post region:tigray zone:Eastern ZHD,confirmed
1087282,asgede medium clinic,tigray,wYP48aXC2Da,asgede clinic,tigray,0.8395693898200989,asgede medium clinic woreda:Asgede Woreda region:tigray zone:North West Zone,asgede clinic region:tigray zone:North Western ZHD,confirmed
1087310,unity medium clinic,oromia,LnsP2ijcoVY,unity medium clinic,oromia,0.8617992997169495,unity medium clinic woreda:Jimma Town region:oromia zone:Jimma Town,unity medium clinic region:oromia zone:Arsi ZHD,confirmed
1087310,unity medium clinic,oromia,Vi7woe6mapJ,unity medium clinic,oromia,0.8569939136505127,unity medium clinic woreda:Jimma Town region:oromia zone:Jimma Town,unity medium clinic region:oromia zone:SHEGER CITY Health Office,confirmed
1087317,mebale health post,tigray,S4QicOcjm7Y,meballe health post,tigray,0.8034982681274414,mebale health post woreda:Tsimbla woreda region:tigray zone:North West Zone,meballe health post region:tigray zone:North Western ZHD,confirmed
1087324,walin medium clinic,oromia,PjvEbTv2uSy,walin medium clinic,oromia,0.827752411365509,walin medium clinic woreda:Adola Town region:oromia zone:Guji Zone,walin medium clinic region:oromia zone:Ambo Town ZHD,confirmed
1087324,walin medium clinic,oromia,pXKyClTvUYc,walin medium clinic,oromia,0.8185379505157471,walin medium clinic woreda:Adola Town region:oromia zone:Guji Zone,walin medium clinic region:oromia zone:South West Shewa  ZHD,confirmed
1087330,kilelu woreda,afar,SZ08Xv8YuFV,kilelu phcu,afar,0.8142054677009583,kilelu woreda woreda:Kilelu Woreda region:afar zone:Zone 6,kilelu phcu region:afar zone:Zone 5 ZHD,confirmed
1087391,wassama woreda,afar,NHtJUAYGRMK,wassama phcu,afar,0.8315830230712891,wassama woreda woreda:Wassama Woreda region:afar zone:Zone 2,wassama phcu region:afar zone:Zone 2 ZHD,confirmed
1087468,adi selam health post,tigray,whawnmaNpF3,adi selam health post,tigray,0.8709612488746643,adi selam health post woreda:Adet Woreda region:tigray zone:Central Zone,adi selam health post region:tigray zone:Central ZHD,confirmed
1087468,adi selam health post,tigray,JT4WZTh9mgn,adi selam health post,tigray,0.8709612488746643,adi selam health post woreda:Adet Woreda region:tigray zone:Central Zone,adi selam health post region:tigray zone:Central ZHD,confirmed
1087472,biruk medium clinic,oromia,xoT8RoSvwgP,biruk no2 medium clinic,oromia,0.8782154321670532,biruk medium clinic woreda:Jimma Town region:oromia zone:Jimma Town,biruk no2 medium clinic region:oromia zone:Bishoftu Town ZHD,confirmed
1087485,sewne health post,tigray,mJwrTaNfP1k,semha health post,tigray,0.8117296695709229,sewne health post woreda:Sewha Saesie Woreda region:tigray zone:Eastern Zone,semha health post region:tigray zone:South Eastern ZHD,confirmed
1087486,wolwalo health post,tigray,XPiTOKAV167,welwalo health post,tigray,0.8215014934539795,wolwalo health post woreda:Sewha Saesie Woreda region:tigray zone:Eastern Zone,welwalo health post region:tigray zone:Eastern ZHD,confirmed
1087498,marwa health post,tigray,gOLTjkiCq8M,marwa health post,tigray,0.850525438785553,marwa health post woreda:Sewha Saesie Woreda region:tigray zone:Eastern Zone,marwa health post region:tigray zone:Eastern ZHD,confirmed
1087521,kidane medium clinic,tigray,BHK9PXf7rJv,kidane medium clinic,tigray,0.8445126414299011,kidane medium clinic woreda:Asgede Woreda region:tigray zone:North West Zone,kidane medium clinic region:tigray zone:North Western ZHD,confirmed
1087523,hadush medium clinic,tigray,XezuGfC4vcP,hadush mesfin lower clinic,tigray,0.8056947588920593,hadush medium clinic woreda:Asgede Woreda region:tigray zone:North West Zone,hadush mesfin lower clinic region:tigray zone:North Western ZHD,confirmed
1087523,hadush medium clinic,tigray,HffwLZARDUr,hadush medium clinic,tigray,0.8552738428115845,hadush medium clinic woreda:Asgede Woreda region:tigray zone:North West Zone,hadush medium clinic region:tigray zone:North Western ZHD,confirmed
1087582,meadi health center,tigray,wijEhHnHQh8,meadi health center,tigray,0.8402456045150757,meadi health center woreda:Enderta woreda region:tigray zone:South East Zone,meadi health center region:tigray zone:South Eastern ZHD,confirmed
1087651,megabiyaw primary clinic,amhara,YzUogVUgWZL,megabiaw primary clinic,amhara,0.829280436038971,megabiyaw primary clinic woreda:Gondar City Administration region:amhara zone:Gondar Town Administration,megabiaw primary clinic region:amhara zone:Central Gondar ZHD,confirmed
1087663,addisie primary clinic,amhara,vsyw3ZzFb68,addisu primary clinic,amhara,0.8757346868515015,addisie primary clinic region:amhara zone:Gondar Town Administration,addisu primary clinic region:amhara zone:Central Gondar ZHD,confirmed
1087663,addisie primary clinic,amhara,vWGN8nISZji,aytegeb primary clinic,amhara,0.8403222560882568,addisie primary clinic region:amhara zone:Gondar Town Administration,aytegeb primary clinic region:amhara zone:Central Gondar ZHD,confirmed
1087663,addisie primary clinic,amhara,ghxUX1vgJyT,addisu primary clinic,amhara,0.8757346868515015,addisie primary clinic region:amhara zone:Gondar Town Administration,addisu primary clinic region:amhara zone:Central Gondar ZHD,confirmed
1087663,addisie primary clinic,amhara,koCrBjPOe4p,addisu primary clinic,amhara,0.8757346868515015,addisie primary clinic region:amhara zone:Gondar Town Administration,addisu primary clinic region:amhara zone:Central Gondar ZHD,confirmed
1087663,addisie primary clinic,amhara,NclhJih8eBO,addis primary clinic,amhara,0.8850090503692627,addisie primary clinic region:amhara zone:Gondar Town Administration,addis primary clinic region:amhara zone:South Gondar ZHD,confirmed
1087663,addisie primary clinic,amhara,JbJlLxhmVAB,addisu primary clinic,amhara,0.8233044147491455,addisie primary clinic region:amhara zone:Gondar Town Administration,addisu primary clinic region:amhara zone:West Gojjam ZHD,confirmed
1087663,addisie primary clinic,amhara,Tbt92DxYbYS,addisu primary clinic,amhara,0.8233044147491455,addisie primary clinic region:amhara zone:Gondar Town Administration,addisu primary clinic region:amhara zone:West Gojjam ZHD,confirmed
1087708,etegiemitwab,amhara,nCIsHhvSjmE,etegie mintwab phcu,amhara,0.8383001089096069,etegiemitwab woreda:Gondar City Administration region:amhara zone:Gondar Town Administration,etegie mintwab phcu region:amhara zone:Gondar THO,confirmed
1087760,hayu medium clinic,oromia,khoad7mmgq7,hayu medium clinic,oromia,0.8411397933959961,hayu medium clinic woreda:Seyo Nole region:oromia zone:West Wollega Zone,hayu medium clinic region:oromia zone:West Wellega  ZHD,confirmed
1087774,doctor muluneh medium clinic,amhara,kA52fu8RKPf,doctor mulugata medium clinic,amhara,0.840904712677002,doctor muluneh medium clinic woreda:Injibara Town region:amhara zone:Awi Zone,doctor mulugata medium clinic region:amhara zone:Awi ZHD,confirmed
1087886,dr getachew medium clinic,amhara,k8v2bbV45iY,dr getaneh special medium dental clinic,amhara,0.8702496290206909,dr getachew medium clinic region:amhara zone:South Gondar Zone,dr getaneh special medium dental clinic region:amhara zone:Bahirdar THO,confirmed
1087886,dr getachew medium clinic,amhara,ralxv3Tm2Ht,dr eshitu medium clinic,amhara,0.8032243251800537,dr getachew medium clinic region:amhara zone:South Gondar Zone,dr eshitu medium clinic region:amhara zone:Dessie THO,confirmed
