mfr_id,mfr_name,mfr_region,dhis2_id,dhis2_name,dhis2_region,linktransformer_score,match_source
1001327,Tsegaye Liben Primary  Clinic,Oromia Region,NkEdyaPGuNj,Tsegaye Liben Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001330,Tsehay Medium Clinic,Oromia Region,ZIFgYRMFW3O,Tsehay Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001337,Tsige Primary Clinic,Oromia Region,L22TRYXI1Qc,Tsige Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001339,Tsion Medium Clinic,Oromia Region,aydDJ9OaVdr,Tsion Cilinic Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001352,Tulu Gudo Medium Clinic,Oromia Region,Sc6zsgCu2lp,Tulu Gudo Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001354,TZNA General Hospital,Addis Ababa City Administration,ZrWZFsmPlF5,TZNA General Hospital,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001360,Universe Medium Clinic,Oromia Region,BUKuROpXsru,Universa Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001364,Universal Meidum Clinic,Oromia Region,kutljZBltda,Universal Meidum Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001365,Universal Adama Medium Clinic,Oromia Region,xmzazjKWxox,Universal Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001367,Ambo University Hachalu Campus Institution Based Medium Clinic,Oromia Region,DTvVpPGbjjo,University Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001371,Urji Medium Clinic,Oromia Region,jBtwt2xupMR,Urji Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001372,Urjii Medium Clinic,Oromia Region,f29S6NbdtRb,Urjii Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001374,Vision Medium Clinic,Oromia Region,tzJPm8gkpvq,Vision Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001381,Wace Primary Clinic,Oromia Region,Zejrvx2w1Bm,Wace Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001383,Wada Balnsa Health Center ,South Ethiopia Region,MBVdQVsNU1o,Wada Balansa Health Center,SNNP Regional Health Bureau,1.0,existing_dhis2_id
1001387,Wahil Health Center,Dire Dawa City Administration,avKfAyKYlxy,Wahil Health Center,Dire Dawa Regional Health Bureau,1.0,existing_dhis2_id
1001389,Walate Health Center,Oromia Region,xNaPRcLfXql,Walate Health Center,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001392,Woliso Health Center No.1,Oromia Region,IkJrmvIihs7,Waliso Health Center,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
