,,name_exact,name_levenshtein,name_jaro_winkler,name_cosine,region_exact,feature_sum,feature_mean
121,8729,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
125,8359,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
125,8641,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
130,2987,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
130,3018,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
130,5588,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
131,3325,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
131,3327,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
131,3572,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
131,3742,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
131,4366,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
131,5096,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
132,8298,0,1.0,1.0,0.0,1,3.0,1.0
133,8704,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
136,8704,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
137,3240,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
137,4116,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
138,8158,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
138,8220,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
138,8529,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
138,8750,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
138,8751,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
138,8753,0,0.0,1.0,1.0,1,3.0,1.0
139,8756,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
141,8233,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
141,8414,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
141,8643,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
141,8703,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
144,3074,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
144,3094,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
144,3289,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
144,4121,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
144,4122,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
144,5070,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
144,5434,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
145,2630,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
145,2631,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
145,2641,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
145,2722,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
147,8234,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
147,8353,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
148,8353,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
149,8413,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
149,8504,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
149,8577,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
149,8743,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
149,8746,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
149,8774,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
150,8347,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
151,8388,0,0.0,1.0,1.0,1,3.0,1.0
152,4777,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
152,5377,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
153,3993,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
155,8714,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
160,8233,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
160,8414,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
160,8643,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
160,8703,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
162,4855,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
164,5520,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
164,5521,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
164,5683,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
164,5684,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
166,4835,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
166,4857,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
166,5915,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
167,2858,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
167,3143,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
167,3760,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
167,4046,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
167,4479,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
168,3626,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
168,4030,0,1.0,1.0,0.0,1,3.0,1.0
168,4167,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
168,5509,0,1.0,1.0,0.0,1,3.0,1.0
169,2857,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
169,3751,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
169,4058,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
169,4059,0,1.0,1.0,0.0,1,3.0,1.0
169,4278,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
169,4335,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
169,5308,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
169,5705,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
170,8693,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
173,8173,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
173,8199,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
173,8328,0,0.0,1.0,1.0,1,3.0,1.0
173,8423,0,0.0,1.0,1.0,1,3.0,1.0
173,8437,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
173,8501,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
173,8618,0,0.0,1.0,1.0,1,3.0,1.0
173,8711,0,0.0,1.0,1.0,1,3.0,1.0
173,8726,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
173,8758,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
175,8486,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
175,8599,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
177,3873,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
178,8456,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
181,3645,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
181,4413,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
181,5436,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
182,4413,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
182,5166,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
182,5436,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
183,8382,0,0.0,1.0,1.0,1,3.0,1.0
183,8727,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
183,8728,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
184,4210,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
184,4211,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
184,4414,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
185,3460,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
185,3462,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
185,3498,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
185,3694,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
185,3813,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
188,4459,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
192,3693,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
192,4194,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
